strategy,resolution,unsafe,probe_cost,utility,post_error,info_gain,model_elim,task_success,gate_precision,gate_recall,abort_rate,false_abstain,reversibility,signature_match,value_info,policy_cost,recovery,weight
s00,0.382213,0.382443,0.162600,-0.217377,0.702365,0.476598,0.259211,0.087703,0.540517,0.441223,0.063000,0.026492,0.759839,0.637800,0.138024,0.070000,0.087555,12079595520
s01,0.584180,0.252456,0.274800,0.214318,0.578983,0.561386,0.395533,0.313403,0.642533,0.560202,0.067250,0.028427,0.755241,0.637800,0.275859,0.110000,0.257158,12079595520
s02,0.454215,0.263876,0.150000,0.076680,0.640322,0.504603,0.308126,0.204787,0.563150,0.488400,0.093000,0.039329,0.776335,0.637800,0.253513,0.090000,0.178937,12079595520
s03,0.557851,0.311997,1.377380,-0.327782,0.605716,0.543712,0.377892,0.252998,0.515450,0.491875,0.149750,0.063985,0.549632,0.637800,-0.186376,0.130000,0.214701,12079595520
s04,0.730366,0.137995,1.301500,0.220148,0.484584,0.621206,0.494725,0.492373,0.787024,0.670523,0.090875,0.038730,0.584171,0.637800,0.048299,0.180000,0.392392,12079595520
s05,0.684299,0.165772,0.809749,0.331776,0.512258,0.600245,0.463593,0.439268,0.740193,0.634862,0.110094,0.047053,0.669353,0.637800,0.229614,0.210000,0.353633,12079595520
s06,0.662724,0.103445,0.821422,0.373966,0.506385,0.584996,0.448906,0.454786,0.820813,0.582894,0.186751,0.079800,0.674731,0.637800,0.220492,0.230000,0.370512,12079595520
s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.427923,1.000000,0.000000,-0.017117,0.030000,0.000000,12079595520
s08,0.931420,0.039518,0.733600,0.846562,0.369491,0.709418,0.630145,0.708328,0.916700,0.889946,0.046875,0.020008,0.698210,0.637800,0.414381,0.220000,0.550976,12079595520
